km2_to_mi2(country = Jamaica, surface_area_mi2 = 4243.239)
km2_to_mi2(country = Japan, surface_area_mi2 = 145922.634)
km2_to_mi2(country = Jordan, surface_area_mi2 = 34486.452)
km2_to_mi2(country = Kazakhstan, surface_area_mi2 = 1052083.89)
km2_to_mi2(country = Kenya, surface_area_mi2 = 224080.857)
km2_to_mi2(country = Kiribati, surface_area_mi2 = 312.741)
km2_to_mi2(country = Korea, Dem. Rep., surface_area_mi2 = 46540.494)
km2_to_mi2(country = Korea, Rep., surface_area_mi2 = 38571.39)
km2_to_mi2(country = Kosovo, surface_area_mi2 = 4203.4707)
km2_to_mi2(country = Kuwait, surface_area_mi2 = 6880.302)
km2_to_mi2(country = Kyrgyzstan, surface_area_mi2 = 77196.834)
km2_to_mi2(country = Laos, surface_area_mi2 = 91428.48)
km2_to_mi2(country = Latvia, surface_area_mi2 = 24926.615999999998)
km2_to_mi2(country = Lebanon, surface_area_mi2 = 4034.745)
km2_to_mi2(country = Lesotho, surface_area_mi2 = 11721.996)
km2_to_mi2(country = Liberia, surface_area_mi2 = 42999.957)
km2_to_mi2(country = Libya, surface_area_mi2 = 679358.394)
km2_to_mi2(country = Liechtenstein, surface_area_mi2 = 61.775999999999996)
km2_to_mi2(country = Lithuania, surface_area_mi2 = 25212.329999999998)
km2_to_mi2(country = Luxembourg, surface_area_mi2 = 999.999)
km2_to_mi2(country = Macao, China, surface_area_mi2 = 10.8108)
km2_to_mi2(country = Macedonia, FYR, surface_area_mi2 = 9926.631)
km2_to_mi2(country = Madagascar, surface_area_mi2 = 226656.144)
km2_to_mi2(country = Malawi, surface_area_mi2 = 45745.128)
km2_to_mi2(country = Malaysia, surface_area_mi2 = 127721.88)
km2_to_mi2(country = Maldives, surface_area_mi2 = 115.83)
km2_to_mi2(country = Mali, surface_area_mi2 = 478837.359)
km2_to_mi2(country = Malta, surface_area_mi2 = 123.55199999999999)
km2_to_mi2(country = Marshall Islands, surface_area_mi2 = 69.498)
km2_to_mi2(country = Mauritania, surface_area_mi2 = 397953.27)
km2_to_mi2(country = Mauritius, surface_area_mi2 = 787.644)
km2_to_mi2(country = Mayotte, surface_area_mi2 = 142.857)
km2_to_mi2(country = Mexico, surface_area_mi2 = 758447.118)
km2_to_mi2(country = Micronesia, Fed. Sts., surface_area_mi2 = 270.27)
km2_to_mi2(country = Moldova, surface_area_mi2 = 13069.485)
km2_to_mi2(country = Monaco, surface_area_mi2 = 0.7722)
km2_to_mi2(country = Mongolia, surface_area_mi2 = 603906.732)
km2_to_mi2(country = Montenegro, surface_area_mi2 = 5332.041)
km2_to_mi2(country = Morocco, surface_area_mi2 = 172412.955)
km2_to_mi2(country = Mozambique, surface_area_mi2 = 308640.618)
km2_to_mi2(country = Myanmar, surface_area_mi2 = 261231.399)
km2_to_mi2(country = Namibia, surface_area_mi2 = 318258.369)
km2_to_mi2(country = Nepal, surface_area_mi2 = 56826.198)
km2_to_mi2(country = Netherlands, surface_area_mi2 = 16038.594)
km2_to_mi2(country = New Caledonia, surface_area_mi2 = 7173.738)
km2_to_mi2(country = New Zealand, surface_area_mi2 = 103362.831)
km2_to_mi2(country = Nicaragua, surface_area_mi2 = 50335.856999999996)
km2_to_mi2(country = Niger, surface_area_mi2 = 489188.7)
km2_to_mi2(country = Nigeria, surface_area_mi2 = 356667.597)
km2_to_mi2(country = Northern Mariana Islands, surface_area_mi2 = 177.606)
km2_to_mi2(country = Norway, surface_area_mi2 = 125011.458)
km2_to_mi2(country = Oman, surface_area_mi2 = 119497.95)
km2_to_mi2(country = Pakistan, surface_area_mi2 = 307374.21)
km2_to_mi2(country = Palau, surface_area_mi2 = 177.606)
km2_to_mi2(country = Panama, surface_area_mi2 = 29119.662)
km2_to_mi2(country = Papua New Guinea, surface_area_mi2 = 178702.524)
km2_to_mi2(country = Paraguay, surface_area_mi2 = 157046.175)
km2_to_mi2(country = Peru, surface_area_mi2 = 496223.442)
km2_to_mi2(country = Philippines, surface_area_mi2 = 115830.0)
km2_to_mi2(country = Poland, surface_area_mi2 = 120725.748)
km2_to_mi2(country = Portugal, surface_area_mi2 = 35555.949)
km2_to_mi2(country = Puerto Rico, surface_area_mi2 = 3424.707)
km2_to_mi2(country = Qatar, surface_area_mi2 = 4474.899)
km2_to_mi2(country = Romania, surface_area_mi2 = 92042.379)
km2_to_mi2(country = Russia, surface_area_mi2 = 6601630.464)
km2_to_mi2(country = Rwanda, surface_area_mi2 = 10169.874)
km2_to_mi2(country = Saint Kitts and Nevis, surface_area_mi2 = 100.386)
km2_to_mi2(country = Saint Lucia, surface_area_mi2 = 239.382)
km2_to_mi2(country = Saint Martin, surface_area_mi2 = 21.00384)
km2_to_mi2(country = Saint Vincent and the Grenadines, surface_area_mi2 = 150.579)
